Date,Headline
2020-09-22,Justice Dept. to Brief States on Google Antitrust Inquiry
2020-09-22,Justice Dept. Case Against Google Is Said to Focus on Search Dominance
2020-09-24,"To Fight Apple and Google, Smaller App Rivals Organize a Coalition"
2020-09-24,What’s the Deal With Google Now?
2020-09-25,Google Services Go Down in Some Parts of U.S.
2020-09-28,Google Demands 30% Cut From App Developers in Its Play Store
2020-10-01,Google commits $1 billion to license content from news publishers.
2020-10-06,"12 Accusations in the Damning House Report on Amazon, Apple, Facebook and Google"
2020-10-07,Google Chromecast Review: A Streaming Device That Gets Better the More It Knows
2020-10-07,Supreme Court Hears Copyright Battle Between Google and Oracle
2020-10-08,Labor Board Accuses Google Contractor of Violating Union Rights
2020-10-13,Google Employees Are Free to Speak Up. Except on Antitrust.
2020-10-20,U.S. Accuses Google of Illegally Protecting Monopoly
2020-10-20,What Is Happening With the Antitrust Suit Against Google?
2020-10-20,Read the Antitrust Lawsuit Against Google
2020-10-20,It’s Google’s World. We Just Live in It.
2020-10-20,Why the Government Is Suing Google
2020-10-20,"Google, Early Voting, World Series: Your Tuesday Evening Briefing"
2020-10-20,"The Justice Dept.’s Lawsuit Against Google: Too Little, Too Late"
2020-10-20,Google Up Against Laws That Thwarted Microsoft (and Others Since 1890)
2020-10-21,Google Antitrust Fight Thrusts Low-Key C.E.O. Into the Line of Fire
2020-10-21,A readers’ guide to our coverage of the Google antitrust case.
2020-10-21,The Justice Dept. vs. Google
2020-10-21,What Did Google Do?
2020-10-21,Five questions about the antitrust case against Google.
2020-10-21,Big Tech’s Professional Opponents Strike at Google
2020-10-21,Google Has Edge in Antitrust Fight
2020-10-22,"Google, You Can’t Buy Your Way Out of This"
2020-10-22,Top Investigator in Google Case Says There ‘Was Not a Rush’ to Sue
2020-10-22,The Case Against Google
2020-10-23,"News Quiz: Russia, Google, World Series"
2020-10-25,"Apple, Google and a Deal That Controls the Internet"
2020-10-27,"Weekly News Quiz for Students: Google Lawsuit, Supreme Court, Found Painting "
2020-10-28,"Facebook, Google and Twitter C.E.O.s return to Washington to defend their content moderation."
2020-10-30,Amazon and Google’s True Advantage
