Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25
2020-10-20,1,u.s. accuses google of illegally protecting monopoly,what is happening with the antitrust suit against google?,read the antitrust lawsuit against google,it’s google’s world. we just live in it.,why the government is suing google,"google, early voting, world series: your tuesday evening briefing","the justice dept.’s lawsuit against google: too little, too late",google up against laws that thwarted microsoft (and others since 1890),,,,,,,,,,,,,,,,,
2020-10-21,1,google antitrust fight thrusts low-key c.e.o. into the line of fire,a readers’ guide to our coverage of the google antitrust case.,the justice dept. vs. google,what did google do?,five questions about the antitrust case against google.,big tech’s professional opponents strike at google,google has edge in antitrust fight,,,,,,,,,,,,,,,,,,
2020-10-22,1,"google, you can’t buy your way out of this",top investigator in google case says there ‘was not a rush’ to sue,the case against google,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,1,"news quiz: russia, google, world series",,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,1,"weekly news quiz for students: google lawsuit, supreme court, found painting ",c-suite rides: ford&quot;s future doesn&quot;t have many cars but lexus&quot;s does (photos),"should you invest in alibaba, walt disney, intel corp, ford, or salesforce?",unusual options activity insight: ford motor,"executive wealth management llc has $405,000 stock holdings in ford motor (nyse:f)",should you buy ford (f) ahead of earnings?,lsv asset management lowers holdings in ford motor (nyse:f),lsv asset management reduces position in ford motor (nyse:f),"ford motor co. to donate nearly 500,000 masks to pittsburgh",,,,,,,,,,,,,,,,
2020-10-28,0,"facebook, google and twitter c.e.o.s return to washington to defend their content moderation.",ford now expects a full-year profit after earnings crush estimates,ford crushes q3 views with surprise earnings jump; 2020 profit outlook turns positive,"fords strong q3 driven by higher demand, operating execution, with game-changing vehicle launches starting in fourth quarter","ford&quot;s strong q3 driven by higher demand, operating execution, with game-changing vehicle launches starting in fourth quarter","steel peak wealth management llc has $106,000 holdings in ford motor (nyse:f)",will ford stock pop after earnings?,"a peek into the markets: us stock futures tumble; ge, ford earnings in focus",$32.70 billion in sales expected for ford motor (nyse:f) this quarter,,,,,,,,,,,,,,,,
2020-10-29,1,stephen weiss weighs in on ford,ford hauls stock markets higher; pinterest paints a pretty profit picture,"the zacks analyst blog highlights: pinterest, etsy, gilead and ford",there were 4 key factors to ford outperforming third-quarter earnings expectations,"stocks making the biggest moves midday: pinterest, ford, spotify, ebay & more","the ratings game: ford blew away wall street expectations, but here&quot;s what analysts are looking at next",wall street reacts to ford&quot;s strong q3: &quot;investors are getting excited&quot;,ford will reveal a battery-electric transit commercial van next month,"state of michigan retirement system acquires 227,500 shares of ford motor (nyse:f)",ford will unveil its electric transit delivery van on november 12th,ford and gm lied. the planet died. part two,"ford&quot;s (f) q3 earnings &amp; sales surpass estimates, up y/y","top analyst upgrades and downgrades: amgen, boeing, ebay, etsy, fastly, fiverr, ford, ge, gilead, pinterest, six flags and more","use it or lose it: new data tells ford, others, which features we really use",ford motor&quot;s debt overview,"thinking about buying stock in ford, biontech, pacific ethanol, inphi corp, or niu technologies?",ford e-transit electric van to debut on nov. 12     - roadshow,ford motor company 2020 q3 - results - earnings call presentation,consumers around the world are ready for green delivery as ford prepares to unveil e-transit on nov. 12,ford motor company (f) ceo jim farley on q3 2020 results - earnings call transcript,"pintrest, marvell, ford, ebay, alexion: what to watch when the stock market opens today",zacks: brokerages expect ford motor (nyse:f) will announce earnings of $0.22 per share,ford to unveil all-electric transit cargo van next month,ford (f) q3 2020 earnings call transcript,"ford sees full-year pretax profit, posts stronger than expected quarterly earnings"
2020-10-30,0,amazon and google’s true advantage,"ford aims high with hands-free f-150, mustang driving feature",ford&quot;s price target raised to $9 by morgan stanley,"ford advancing hands-free driver assist technology and making it more mainstream with f-150, mustang mach-e","ford eyes first-year sales of 100,000 vehicles with hands-free driving system",ford brings hands-free driving to f-150 and mach-e with active drive assist     - roadshow,ford plans to unveil all-electric transit van as home deliveries skyrocket,,,,,,,,,,,,,,,,,,
2020-11-02,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,1,ford orders 12 ultra-cold freezers to distribute covid-19 vaccines to employees,why ford stock is roaring higher today,"should you invest in general electric, nio, bank of america, ford, or pfizer?",ford orders 12 ultra-cold freezers to distribute covid-19 vaccines,"westpac banking corp purchases 74,675 shares of ford motor (nyse:f)",ford&quot;s new ceo tackles warranty costs in bid to boost profit,,,,,,,,,,,,,,,,,,,
2020-11-25,0,"&quot;halftime report&quot; traders weigh in on ford, gm and fisker",ford stock downgraded to hold at morgan stanley,"ford preps for a coronavirus vaccine, buys big freezers     - roadshow","morgan stanley downgrades ford, says ev strategy is &quot;not fully clear&quot;",gm wins out over ford in morgan stanley&quot;s battle of detroit,mike khouw sees unusual options activity in ford,ford motor (nyse:f) downgraded by morgan stanley,improving cash flows put gm and ford dividends in line for restoration,covid-19: ford orders 12 ultra-cold freezers,ford orders 12 ultra-cold freezers for in-house distribution of covid-19 vaccines,,,,,,,,,,,,,,,
2020-11-27,1,ford can be fixed. why its stock could double.,"wells fargo, ford: latest upgrades and downgrades",ford motor (nyse:f) stock rating lowered by morgan stanley,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,0,ford to convert cologne factory for meb based ev production,ford motor (nyse:f) shares sold by seeyond,"fjarde ap fonden fourth swedish national pension fund acquires 126,500 shares of ford motor (nyse:f)",andra ap fonden lowers holdings in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,
2020-12-01,1,bearish ford option trader bets $1.1m stock is headed lower over the next 2 years,"should you invest in micron technology, ford motor, intel corp, american airlines, or carnival corp?",ford motor company&quot;s (f) management presents at bank of america 2020 leveraged finance virtual conference (transcript),ford urges other automakers to follow california clean air rules,,,,,,,,,,,,,,,,,,,,,
2020-12-02,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03,1,federal labor agency says google wrongly fired 2 employees,google researcher says she was fired over paper highlighting bias in a.i.,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,0,google chief apologizes for a.i. researcher’s dismissal,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,0,google delays return to office and eyes ‘flexible work week’,google dominates thanks to an unrivaled view of the web,google’s apps crash in a worldwide outage.,"vaccines, electoral college, google: your monday evening briefing","captrust financial advisors buys 45,770 shares of ford motor (nyse:f)",exoduspoint capital management lp invests $1.16 million in ford motor (nyse:f),public employees retirement system of ohio increases stock position in ford motor (nyse:f),brokerages expect ford motor (nyse:f) will post quarterly sales of $33.30 billion,demand for 2021 ford f-150 pickups exceeds supply: buyers want &quot;steak in a hamburger world&quot;,,,,,,,,,,,,,,,,
2020-12-15,1,new electric ford mustang starts to hit showrooms,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,0,10 states accuse google of abusing monopoly in online ads,"virtu financial llc invests $686,000 in ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,0,"after a yearlong review, europe approves google’s fitbit acquisition.",microsoft’s lessons for google,google’s legal peril grows in face of third antitrust suit,ford receives world environment center&quot;s 2020 gold medal award for corporate sustainability,review: the ford bronco sport is a capable crossover that will win over the suburbs,,,,,,,,,,,,,,,,,,,,
2020-12-18,0,general motors and ford won&quot;t mandate covid-19 vaccinations for employees,tesla competitor analysis: reviews of the ford mustang mach-e,bill ford: &quot;our family name is on the line every day&quot;,"teachers retirement system of the state of kentucky sells 17,588 shares of ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,
2020-12-21,1,google denies antitrust claims in early response to u.s. lawsuit,"ford poised to soar 34% higher, says analyst","ford supports insuretech revolution with insurance carriers, ford insure and lincoln motor company insure, using embedded telematics to help customers save on auto policies",ford&quot;s manufacturing chief among 3 execs to retire,ford motor company issues two safety recalls in north america,,,,,,,,,,,,,,,,,,,,
2020-12-22,0,watch this teaser video from ford showing electric f-150 playing in snow with mustang mach e,"ford recalling 30,000 full-size vans, explorers and aviators",,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,1,ford motor (nyse:f) pt raised to $12.00,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,0,"the zacks analyst blog highlights: baidu, tesla, general motors, ford and volkswagen",,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,0,"ford begins deliveries of mustang mach-e with competitive price, 300-mile range",,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,1,"ford, mahindra call off india auto jv","ford, mahindra call off auto joint venture","bank of america, ford, general motors price analysis roundup",,,,,,,,,,,,,,,,,,,,,,
2021-01-04,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,1,,,,,,,,,,,,,,,,,,,,,,,,,
