Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57
2020-04-03,1,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,-0.5299990000000037,0.41999799999999254,-3.5699989999999957,-0.8400039999999933,0.1100009999999969,-5.529999000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,1,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,-0.5299990000000037,0.41999799999999254,-3.5699989999999957,-0.8400039999999933,0.1100009999999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,0,7.010002,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,-0.5299990000000037,0.41999799999999254,-3.5699989999999957,-0.8400039999999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,0,-1.9900049999999965,7.010002,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,-0.5299990000000037,0.41999799999999254,-3.5699989999999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,1,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,-0.5299990000000037,0.41999799999999254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,1,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,-0.5299990000000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,1,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,3.33000100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,0,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,5.470001999999994,1.9899970000000025,-0.6899949999999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,1,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,5.470001999999994,1.9899970000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,1,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,5.470001999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,0,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,2.270004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,0,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,7.010002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,1,-0.8600000000000136,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,-1.9900049999999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,0,1.5899960000000135,-0.8600000000000136,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,-1.8500060000000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,1,-1.320007000000004,1.5899960000000135,-0.8600000000000136,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,3.5800020000000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,0,0.08999599999998509,-1.320007000000004,1.5899960000000135,-0.8600000000000136,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,4.030006,"cvs, walgreens, walmart ramping up thousands of new coronavirus test sites","analyzing 3 current momentum plays: amazon, walmart, and progressive","walmart inc (nyse:wmt) given average rating of ""buy"" by brokerages",analysts anticipate walmart inc (nyse:wmt) will post quarterly sales of $129.48 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,0,-1.6999969999999962,0.08999599999998509,-1.320007000000004,1.5899960000000135,-0.8600000000000136,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,1.9000020000000006,"walmart, jpmorgan chase, exxonmobil stocks should be avoided: graniteshares ceo",bbva usa bancshares inc. trims stake in walmart inc (nyse:wmt),walmart inc (nyse:wmt) stake lifted by delta financial advisors llc,"bridgeworth llc has $678,000 holdings in walmart inc (nyse:wmt)","cognios capital llc sells 18,107 shares of walmart inc (nyse:wmt)","certified advisory corp has $535,000 position in walmart inc (nyse:wmt)",walmart inc (nyse:wmt) position reduced by executive wealth management llc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,0,-0.27999900000000366,-1.6999969999999962,0.08999599999998509,-1.320007000000004,1.5899960000000135,-0.8600000000000136,-2.5399929999999813,0.6399989999999889,3.3300020000000075,-0.24000499999999647,birmingham capital management co. inc. al trims position in walmart inc (nyse:wmt),"birmingham capital management co. inc. al has $942,000 stock holdings in walmart inc (nyse:wmt)",calamos wealth management llc boosts stake in walmart inc (nyse:wmt),capital investment advisory services llc reduces stock position in walmart inc (nyse:wmt),"citizens national bank trust department purchases shares of 24,105 walmart inc (nyse:wmt)","top analyst upgrades and downgrades: alphabet, amd, corning, fireeye, inovia, lululemon, nike, roku, starbucks, tyson, walmart and more",clear street markets llc cuts position in walmart inc (nyse:wmt),calamos advisors llc cuts stock position in walmart inc (nyse:wmt),walmart (nyse:wmt) earns news sentiment score of 0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
