Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8
2018-03-08,1,[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],teaching activities for: ‘google researchers are learning how machines learn’,,,,,,,
2018-03-09,1,[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],google is trying too hard (or not hard enough) to diversify,,,,,,,
2018-03-12,1,[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],,,,,,,,
2018-03-13,0,[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],google’s security sweep for apps,,,,,,,
2018-03-14,1,[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],google bans bitcoin advertisements in policy change,,,,,,,
2018-03-15,0,[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],,,,,,,,
2018-03-16,0,[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],[25.840087999999923],,,,,,,,
2018-03-19,0,[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],[15.790038999999979],,,,,,,,
2018-03-20,0,[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],[-4.159912000000077],google pledges $300 million to clean up false news,,,,,,,
2018-03-21,0,[-1.2900389999999788],[-20.190063999999893],[-18.41003499999988],[-0.38000499999998283],[4.280029000000013],[-31.82995600000004],[0.6500240000000304],[24.04003899999998],[10.680053999999927],[20.45007399999986],,,,,,,,
