Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4
2019-02-15,0,[3.619995000000017],[-4.829956000000038],[14.569946000000073],[-1.9399410000000898],[8.06005899999991],[-5.450072999999975],[-24.339966000000004],[21.15002400000003],[20.14001499999995],[-1.6500240000000304],,,,
2019-02-19,1,[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],[14.569946000000073],[-1.9399410000000898],[8.06005899999991],[-5.450072999999975],[-24.339966000000004],[21.15002400000003],,,,
2019-02-20,0,[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],[14.569946000000073],[-1.9399410000000898],[8.06005899999991],[-5.450072999999975],[-24.339966000000004],,,,
2019-02-21,0,[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],[14.569946000000073],[-1.9399410000000898],[8.06005899999991],[-5.450072999999975],google ends forced arbitration for all employee disputes,,,
2019-02-22,1,[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],[14.569946000000073],[-1.9399410000000898],[8.06005899999991],,,,
2019-02-25,0,[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],[14.569946000000073],[-1.9399410000000898],,,,
2019-02-26,1,[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],[14.569946000000073],,,,
2019-02-27,1,[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],[-4.829956000000038],,,,
2019-02-28,1,[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],[3.619995000000017],,,,
2019-03-01,1,[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],[-16.429932000000008],,,,
2019-03-04,1,[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],[],google finds it’s underpaying many men as it addresses wage equity,,,
2019-03-05,1,[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],[8.56005899999991],,,,
2019-03-06,0,[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],[-6.18994100000009],,,,
2019-03-07,0,[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],[-13.869995000000017],even google can no longer hide its gender pay gap,,,
2019-03-08,1,[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],[9.469970999999987],,,,
2019-03-11,1,[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],[-6.59997599999997],google approved $45 million exit package for executive accused of misconduct,,,
2019-03-12,1,[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],[9.380004999999983],,,,
2019-03-13,0,[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],[9.100097999999889],,,,
2019-03-14,0,[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],[8.619995000000017],,,,
2019-03-15,0,[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],[16.089966000000004],,,,
2019-03-18,1,[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],[0.8100589999999102],,,,
2019-03-19,1,[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],[11.969970000000103],google introduces streaming video game service,,,
2019-03-20,1,[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],[-4.630004999999983],google fined $1.7 billion by e.u. for unfair advertising rules,,,
2019-03-21,1,[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],[-12.419922000000042],,,,
2019-03-22,0,[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],[15.589966000000004],,,,
2019-03-25,0,[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],[31.31005899999991],he tried to bilk google and facebook out of $100 million with fake invoices,,,
2019-03-26,0,[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],[14.93994100000009],inside google’s rebooted robotics program,,,
2019-03-27,0,[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],[-7.325073999999859],,,,
2019-03-28,0,[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],[-8.959961000000021],,,,
2019-03-29,0,[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],[-8.920043999999962],,,,
2019-04-01,1,[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],[0.9599610000000212],,,,
2019-04-02,1,[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],[10.03991700000006],,,,
2019-04-03,0,[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],[26.619995000000017],google returns,,,
2019-04-04,1,[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],[15.540038999999979],,,,
2019-04-05,0,[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],[-20.819946000000073],therapy and the google complex,,,
2019-04-08,0,[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],[-3.9300539999999273],,,,
2019-04-09,1,[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],[-13.910033999999996],,,,
2019-04-10,1,[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],[-12.479980000000069],,,,
2019-04-11,1,[1.4799800000000687],[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],[-3.0500489999999445],,,,
2019-04-12,1,[0.660033999999996],[1.4799800000000687],[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],[-1.5899650000001202],,,,
2019-04-15,1,[7.869995000000017],[0.660033999999996],[1.4799800000000687],[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],[10.330077999999958],"google, trump, tiger woods: your monday briefing",,,
2019-04-16,1,[3.0999759999999696],[7.869995000000017],[0.660033999999996],[1.4799800000000687],[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],[5.170043999999962],,,,
2019-04-17,1,[2.130004999999983],[3.0999759999999696],[7.869995000000017],[0.660033999999996],[1.4799800000000687],[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],[-1.559936000000107],,,,
2019-04-18,0,[3.339966000000004],[2.130004999999983],[3.0999759999999696],[7.869995000000017],[0.660033999999996],[1.4799800000000687],[1.25],[-4.0500489999999445],[-7.839966000000004],[9.06005899999991],,,,
2019-04-22,1,[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],[3.0999759999999696],[7.869995000000017],[0.660033999999996],[1.4799800000000687],[1.25],[-4.0500489999999445],google employees say they faced retaliation after organizing walkout,,,
2019-04-23,1,[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],[3.0999759999999696],[7.869995000000017],[0.660033999999996],[1.4799800000000687],[1.25],"sri lanka, google, philippines: your tuesday briefing",i used to work for google. i am a conscientious objector.,,
2019-04-24,0,[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],[3.0999759999999696],[7.869995000000017],[0.660033999999996],[1.4799800000000687],"wing, owned by google’s parent company, gets first approval for drone deliveries in u.s.",,,
2019-04-25,0,[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],[3.0999759999999696],[7.869995000000017],[0.660033999999996],,,,
2019-04-26,1,[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],[3.0999759999999696],[7.869995000000017],,,,
2019-04-29,1,[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],[3.0999759999999696],,,,
2019-04-30,1,[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],[2.130004999999983],"eric schmidt to leave alphabet board, ending an era that defined google",,,
2019-05-01,0,[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],[3.339966000000004],"who is ruth asawa, the artist in today’s google doodle?",,,
2019-05-02,0,[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],[-2.81005899999991],,,,
2019-05-03,1,[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],[],,,,
2019-05-06,1,[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],[12.84997599999997],,,,
2019-05-07,0,[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],[13.860107999999855],google pixel 3a review: the $400 smartphone you’ve been waiting for,google says it has found religion on privacy,,
2019-05-08,0,[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],[-8.119995000000017],google’s sundar pichai: privacy should not be a luxury good,,,
2019-05-09,1,[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],[-1.3200689999998758],,,,
2019-05-10,1,[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],[3.1800539999999273],the week in tech: facebook and google reshape the narrative on privacy,,,
2019-05-13,0,[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],[13.579956000000038],,,,
2019-05-14,0,[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],[3.4799800000000687],"attention, amazon shoppers: google wants some of your spending money",,,
2019-05-15,1,[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],[-19.970092999999906],,,,
2019-05-16,1,[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],[-5.150024999999914],,,,
2019-05-17,0,[14.469970000000103],[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],[11.75],you’re not alone when you’re on google,,,
2019-05-20,0,[-6.169922000000042],[14.469970000000103],[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],[23.130004999999983],"u.s. tech suppliers, including google, restrict dealings with huawei after trump order",tech stocks sink after google cuts huawei off android support,"as huawei loses google, the u.s.-china tech cold war gets its iron curtain",
2019-05-21,1,[-5.65002400000003],[-6.169922000000042],[14.469970000000103],[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],[-6.369995000000017],google changes abortion ad policy,,,
2019-05-22,1,[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],[14.469970000000103],[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],[-5.739990000000034],google’s duplex uses a.i. to mimic humans (sometimes),,,
2019-05-23,1,[4.670043999999962],[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],[14.469970000000103],[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],[3.3499759999999696],,,,
2019-05-24,0,[0.2700199999999313],[4.670043999999962],[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],[14.469970000000103],[46.339966000000004],[-16.77001999999993],[-9.929932000000008],[0.6800539999999273],,,,
2019-05-28,1,[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],[14.469970000000103],[46.339966000000004],[-16.77001999999993],google’s shadow work force: temps who outnumber full-time employees,,,
2019-05-29,0,[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],[14.469970000000103],[46.339966000000004],on migrant journeys with whatsapp and google translate,,,
2019-05-30,1,[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],[14.469970000000103],google should google the definition of ‘employee’,,,
2019-05-31,1,[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],[1.1400149999999485],[-5.65002400000003],[-6.169922000000042],,,,
2019-06-03,0,[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],[1.1400149999999485],[-5.65002400000003],,,,
2019-06-04,1,[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],[1.1400149999999485],why does google know everything you’ve bought on amazon for the past six years?,,,
2019-06-05,0,[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],[4.670043999999962],,,,
2019-06-06,0,[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],[0.2700199999999313],google to buy data analytics company despite new antitrust scrutiny,,,
2019-06-07,1,[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],[-13.890014000000065],,,,
2019-06-10,1,[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],[],,,,
2019-06-11,0,[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],[0.15002400000003036],,,,
2019-06-12,0,[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],[-11.06005899999991],"‘oversharing’ on google calendar, and making sure readers come back for more",,,
2019-06-13,1,[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],[2.4099120000000767],,,,
2019-06-14,0,[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],[2.339966000000004],,,,
2019-06-17,1,[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],[-29.27001999999993],,,,
2019-06-18,0,[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],[10.150024999999914],google pledges to invest $1 billion to ease bay area housing crisis,,,
2019-06-19,0,[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],[-9.320067999999992],,,,
2019-06-20,0,[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],[-0.6500240000000304],,,,
2019-06-21,1,[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],[15.410033999999996],,,,
2019-06-24,0,[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],[7.400024999999914],,,,
2019-06-25,0,[-4.08996500000012],[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],[-15.260009000000082],,,,
2019-06-26,0,[-26.310058000000026],[-4.08996500000012],[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],[-0.9699709999999868],google and the university of chicago are sued over data sharing,,,
2019-06-27,0,[-6.6999510000000555],[-26.310058000000026],[-4.08996500000012],[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],[5.130004999999983],,,,
2019-06-28,1,[-7.989990000000034],[-6.6999510000000555],[-26.310058000000026],[-4.08996500000012],[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],[-1.070067999999992],,,,
2019-07-01,0,[4.5200190000000475],[-7.989990000000034],[-6.6999510000000555],[-26.310058000000026],[-4.08996500000012],[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],[6.219970999999987],,,,
2019-07-02,1,[-0.0500489999999445],[4.5200190000000475],[-7.989990000000034],[-6.6999510000000555],[-26.310058000000026],[-4.08996500000012],[12.640014999999948],[-8.569946000000073],[-3.2700199999999313],[-6.08996500000012],,,,
