Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7
2014-04-07,1,[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],,,,,,,
2014-04-08,0,[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],"at google, bid to put its glasses to work",,,,,,
2014-04-09,0,[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],,,,,,,
2014-04-10,0,[4.507628999999952],[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],,,,,,,
2014-04-11,1,[-23.984192000000007],[4.507628999999952],[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],google glass available to anyone in u.s. — for one day only,,,,,,
2014-04-14,1,[-1.944641000000047],[-23.984192000000007],[4.507628999999952],[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],"with purchase of drone maker, google sees a fleet of satellites",,,,,,
2014-04-15,1,[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],[4.507628999999952],[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],,,,,,,
2014-04-16,0,[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],[4.507628999999952],[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],[-32.89965799999993],"in germany, strong words over google's power",earnings and sales from google disappoint,,,,,
2014-04-17,1,[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],[4.507628999999952],[12.266296000000011],[-2.582885000000033],[-31.42370600000004],[-0.10967999999991207],daily report: google’s results disappoint as ads are less profitable,"if a driver has an accident while wearing google glass, should google get sued?",google uses algorithms to create slr-like photos,,,,
2014-04-21,1,[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],[4.507628999999952],[12.266296000000011],[-2.582885000000033],,,,,,,
2014-04-22,1,[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],[4.507628999999952],[12.266296000000011],,,,,,,
2014-04-23,1,[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],[4.507628999999952],"siri and google now, meet cortana",,,,,,
2014-04-24,1,[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],[-23.984192000000007],google plus boss vic gundotra leaving google,skills sought by google,,,,,
2014-04-25,1,[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],[-1.944641000000047],,,,,,,
2014-04-28,1,[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],[-5.714354999999955],,,,,,,
2014-04-29,0,[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],[-0.3789680000000999],europe’s antitrust chief censures google’s motorola mobility over key patents,,,,,,
2014-04-30,0,[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],[13.502868000000035],,,,,,,
2014-05-01,0,[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],[-12.675232000000051],letters: ‘plato at the googleplex’,,,,,,
2014-05-02,0,[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],[],,,,,,,
2014-05-05,0,[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],[-7.459473000000116],,,,,,,
2014-05-06,0,[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],[6.153137000000015],,,,,,,
2014-05-07,0,[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],[-6.831237999999985],,,,,,,
2014-05-08,0,[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],[-4.896544999999946],,,,,,,
2014-05-09,0,[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],[-6.312682999999993],what it means when google ‘verifies’ an app,,,,,,
2014-05-12,0,[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],[-0.029906999999980144],,,,,,,
2014-05-13,0,[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],[10.77044699999999],daily report: e.u. court orders google to grant ‘right to be forgotten’,e.u. court rules in google privacy case,ordering google to forget,,,,
2014-05-14,1,[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],[-0.937439000000154],ethics complaint against google’s chairman,,,,,,
2014-05-15,1,[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],[4.228394000000094],don’t force google to ‘forget’,"after european court decision, google works on a tool to remove links",,,,,
2014-05-16,1,[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],[-5.814026000000013],"opera glasses, google edition",,,,,,
2014-05-19,1,[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],[2.9818109999999933],,,,,,,
2014-05-20,0,[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],[-10.062377999999967],e.u. antitrust chief casts doubt on google deal over rivals’ links,,,,,,
2014-05-21,0,[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],[-5.8139960000000315],google s.e.c. filing says it wants ads in your thermostat and car,"looking overseas, google weighs a shift in deal focus",,,,,
2014-05-22,0,[6.023499000000015],[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],[2.533050000000003],,,,,,,
2014-05-23,0,[3.9192509999999174],[6.023499000000015],[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],[6.392456000000038],[7.958190000000002],,,,,,,
2014-05-27,0,[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],[2.1939700000000357],it’s not as simple as asking to ‘be forgotten’ by google,,,,,,
2014-05-28,1,[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],[-6.332580000000007],the google car takes a step away from boring,google’s next phase in driverless cars: no steering wheel or brake pedals,google’s video of its self-driving car,daily report: google testing a completely driverless car,"google releases employee data, illustrating tech’s diversity challenge",,
2014-05-29,1,[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],[-5.704345999999987],,,,,,,
2014-05-30,1,[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],[0.029968000000053507],[9.134887000000049],[-0.7579339999999775],google takes steps to comply with ‘right to be forgotten’ ruling,,,,,,
2014-06-02,1,[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],[0.029968000000053507],[9.134887000000049],podcast: google glass operation,china escalating attack on google ,"podcast: your brain on cursive, google glass operation, tattoos for healing",,,,
2014-06-03,1,[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],[0.029968000000053507],google offers new encryption tool,,,,,,
2014-06-04,1,[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],[6.023499000000015],,,,,,,
2014-06-05,1,[3.151305999999977],[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],[3.9192509999999174],,,,,,,
2014-06-06,1,[7.479430999999977],[3.151305999999977],[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],[5.4251100000001315],,,,,,,
2014-06-09,1,[-1.725279999999998],[7.479430999999977],[3.151305999999977],[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],[],,,,,,,
2014-06-10,0,[4.9564209999999775],[-1.725279999999998],[7.479430999999977],[3.151305999999977],[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],[9.922790999999961],google adds graffiti to its art portfolio,google to buy skybox imaging for $500 million,,,,,
2014-06-11,0,[0.03985600000009981],[4.9564209999999775],[-1.725279999999998],[7.479430999999977],[3.151305999999977],[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],[-2.8820799999999736],google streamlines its tools for small businesses,,,,,,
2014-06-12,0,[0.8376460000000634],[0.03985600000009981],[4.9564209999999775],[-1.725279999999998],[7.479430999999977],[3.151305999999977],[-6.03344699999991],[-6.751465000000053],[-0.9074699999999893],[-3.2610469999999623],,,,,,,
