Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24
2020-09-11,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,0,dell technologies inc. (dell) management presents at deutsche bank 2020 technology conference (transcript),dell to trim workforce this week in move to stay competitive,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,0,dell to cut unknown number of jobs as part of streamlining,dell coo clarke notifies employees about layoffs that start this week,td asset management inc. grows position in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,
2020-09-16,0,sei investments co. has $11.35 million stock position in dell inc. (nyse:dell),south africa: have your say on grey dell being declared a natural forest,"prudential financial inc. has $508,000 holdings in dell inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,
2020-09-17,1,dell cuts jobs again... which in dell-speak is &quot;addressing cost structure to make sure we&quot;re competitive&quot;,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18,0,captrust financial advisors boosts holdings in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-09-21,1,"via optronics, dell display solutions provider, updates ipo to $15-17/ads",handelsbanken fonder ab invests $2.77 million in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,
2020-09-22,1,"advisor group holdings inc. sells 2,888 shares of dell inc. (nyse:dell)",fmr llc has $9.83 million stock position in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,
2020-09-23,0,why hp and dell both can outperform apple stock heading into 2021,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,1,two sigma advisers lp decreases stock holdings in dell inc. (nyse:dell),two sigma advisers lp decreases position in dell inc. (nyse:dell),dell (nyse:dell) upgraded to buy by ubs group,,,,,,,,,,,,,,,,,,,,,
2020-09-25,1,stephens inc. ar makes new investment in dell inc. (nyse:dell),dell (nyse:dell) stock rating upgraded by ubs group,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,1,"rackspace, dell partner on cloud computing",rackspace lands new partnership with dell,dell&quot;s new xps 13 laptops get intel&quot;s latest tiger lake processors     - cnet,dell launches new xps 13 laptops with intel&quot;s tiger lake,dell announces new xps 13 and xps 13 2-in-1 with tiger lake processors,"tiger lake is coming in dell xps 13, xps 13 de, and xps 13 2-in-1",dell upgrades xps 13 laptops with intel&quot;s new tiger lake processors,,,,,,,,,,,,,,,,,
2020-09-29,1,vmware ceo says markets will view dell spinoff favorably,vmware ceo pat gelsinger says a dell spinoff could give him freedom to work with more manufacturers,"dell builds tighter vmware integrations for cloud, app modernization","dell technologies innovations advance management, automation and protection of vmware environments",dell inc. (nyse:dell) receives $60.69 consensus pt from analysts,,,,,,,,,,,,,,,,,,,
2020-09-30,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,0,dell technologies announces investor call on dell financial services,we&quot;re not counting on dell technologies (nyse:dell) to sustain its statutory profitability,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,1,selling vmware would be big for dell stock,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,1,,,,,,,,,,,,,,,,,,,,,,,,
